Resort Hotel,August,25349,9742
City Hotel,August,23715,8706
Resort Hotel,July,20702,8038
City Hotel,July,19828,8155
City Hotel,September,17884,6888
City Hotel,October,17330,6816
City Hotel,May,17322,6045
City Hotel,June,17257,5521
City Hotel,April,16391,6398
City Hotel,March,14761,4958
Resort Hotel,September,13435,4814
Resort Hotel,June,11791,4547
City Hotel,December,11279,3933
Resort Hotel,October,11133,4674
Resort Hotel,May,11058,4209
City Hotel,February,10664,4161
Resort Hotel,April,10424,4122
City Hotel,November,10410,3362
Resort Hotel,March,10318,3452
Resort Hotel,February,9371,3541
City Hotel,January,8286,2947
Resort Hotel,November,7168,2357
Resort Hotel,December,6858,2801
Resort Hotel,January,6508,2381
hotel,January,6,1
