A,25835,6826756.55,264.24,2019
A,16539,5138414.54,310.68,2020
A,10422,2766733.3,265.47,2018
B,461,129333.4,280.55,2019
B,115,43493.51,378.2,2020
B,174,40613.19,233.41,2018
C,274,210490.34,768.21,2020
C,263,183359.07,697.18,2019
C,134,88413.92,659.81,2018
D,6568,2945673.7,448.49,2019
D,4931,2444565.73,495.75,2020
D,1805,817875.1,453.12,2018
E,2212,1082428.65,489.34,2019
E,1762,1045472.09,593.34,2020
E,750,461246.9,615,2018
F,997,532551.86,534.15,2019
F,727,474615.46,652.84,2020
F,317,157924.28,498.18,2018
G,703,426120.69,606.15,2019
G,481,366428.15,761.8,2020
G,192,132559.66,690.41,2018
H,206,119771.94,581.42,2019
H,113,87720.05,776.28,2020
H,56,45438.76,811.41,2018
L,4,754,188.5,2018
L,2,500,250,2019
